zip,file,title,type,file_count,fullCaseName_count
332106.zip,content/332106/000b9373-01cb-4116-9fba-5c93e146a8fc,US Cases/MD Circuit Court Cases of Maryland from 2003 [PCSI-332106],states,657,13015
343165.zip,content/343165/0004a4a6-8caa-4b83-917c-c602d686739b,Cases/NJ Unpublished Cases from 2005 [PCSI-343165],states,17507,387161
344574.zip,content/344574/000b200c-23bf-45c4-8060-46e6c1d313bf,US Cases/KY Unpublished Cases from 2003 [PCSI-344574],states,8295,181021
344575.zip,content/344575/0014769c-0352-4e29-85ab-c6c308e00fc7,US Cases/ID Unpublished Cases from 2009 [PCSI-344575],states,6380,43627
345352.zip,content/345352/00027ce1-fcdf-4607-ba4e-f71922c7507b,US Cases/IN Unpublished Cases from 2009 [PCSI-345352],states,13080,218698
345663.zip,content/345663/0065b761-5af3-4c47-a724-bf810a372c02,US Cases/State of California Commission on Judicial Performance [PCSI-345663],states,139,572
345916.zip,content/345916/000865a5-fd1f-4a47-a696-c11d0b08cf40,US Cases/Massachusetts Court of Appeals Unpublished [PCSI-345916],states,10246,140652
353012.zip,content/353012/0038b52b-9bb7-4b04-8461-a76f31486f50,US Cases/Arizona Tax Court Cases [PCSI-353012],states,193,4244
353017.zip,content/353017/0040b288-e068-4063-b4f5-b2bd6f4b4d14,Cases/Indiana Tax Court Cases [PCSI-353017],states,1050,10964
363835.zip,content/363835/00229b96-b7b1-4542-b327-f7400cb4a36f,US Cases/VT Superior Court Cases from 2002 [PCSI-363835],states,577,13427
366090.zip,content/366090/0004b4e0-e966-418b-80b8-aa22ced60328,US Cases/Pennsylvania Commonwealth Court - Unpublished [PCSI-366090],states,9835,100483
369696.zip,content/369696/000d96b0-fd91-4bdc-81c5-4d7116ad15cf,US Cases/NH Superior Court Cases from 1997 [PCSI-369696],states,602,10807
373135.zip,content/373135/00124ebb-4d8b-465e-b1be-0f6c194aab64,Cases/NH Supreme Court cases from 1816 [PCSI-373135],states,3535,218583
379075.zip,content/379075/0001c098-768e-4ffd-b011-f2adaffdd347,US Cases/Appellate Court of Illinois Unpublished [PCSI-379075],states,20599,211055
3809.zip,content/3809/01a892c7-4a87-45a6-9f00-dc1200afe84b,"Cases/AL Court of Appeals Cases, 1911-69 Publication [PCSI-3809]",states,150,112522
3812.zip,content/3812/000880f6-1aff-4318-a2f3-24d1d76459b5,US Cases/AL Court of Civil Appeals Cases from 1969 [PCSI-3812],states,5255,422185
3813.zip,content/3813/000b77ad-217d-424c-be47-7aa2aa327830,US Cases/AL Court of Criminal Appeals Cases from 1969 [PCSI-3813],states,4008,842600
3814.zip,content/3814/00018163-3ebb-4bcd-9e76-3644b79a8c37,US Cases/AL Supreme Court Cases from 1820 [PCSI-3814],states,4731,879649
3823.zip,content/3823/0001b994-ae71-453a-8d90-eebf4aef59ae,US Cases/AK Court of Appeals Cases from 1980 [PCSI-3823],states,4021,50779
3825.zip,content/3825/000c1b10-4481-4e74-a187-994222da9b4c,US Cases/AK Supreme Court Cases from 1959 [PCSI-3825],states,4096,81701
383309.zip,content/383309/48ce25dd-4757-44f9-b07c-56e6cdc20af7,US Cases/Arizona Supreme Court - Unpublished Cases [PCSI-383309],states,16,11
383310.zip,content/383310/00046ed2-5f6e-4b73-a8c9-16a157656c6a,US Cases/AZ Court of Appeals Unpublished Cases [PCSI-383310],states,11574,237544
387750.zip,content/387750/00321dbd-a5af-4bf8-b0ba-04ae7e211732,US Cases/Minnesota District Courts - Trial Level [PCSI-387750],states,517,22453
390840.zip,content/390840/00040983-3e20-450b-abbd-6b30c33f0b15,"Cases/NV Supreme Court Cases, Unpublished from 2010 [PCSI-390840]",states,8814,148007
390926.zip,content/390926/063e4c98-cf64-4f23-a293-d2b10c6b9d35,"US Cases/OK COURT ON THE JUDICIARY, APPELLATE DIVISON [PCSI-390926]",states,27,132
4298.zip,content/4298/00006185-e2ce-47e3-9cb4-c4c24a3a66ac,US Cases/AR Court of Appeals Cases from 1979 [PCSI-4298],states,8010,246614
4300.zip,content/4300/00231077-73e1-4fb5-8ad3-80c45a5b92bc,US Cases/AR Supreme Court Cases from 1837 [PCSI-4300],states,6855,541296
430497.zip,content/430497/00d7ce41-e0a0-43aa-8176-a84ba81c2954,US Cases/VA Supreme Court Unpublished Cases [PCSI-430497],states,378,1189
4306.zip,content/4306/0026d993-281e-4428-bbf8-1a3a15aca6d3,US Cases/AZ Court of Appeals Published Cases from 1965 [PCSI-4306],states,4899,197873
4310.zip,content/4310/00017a4a-4f07-4c3e-9c52-8c968d998cb0,US Cases/AZ Supreme Court Published Cases from 1866 [PCSI-4310],states,3043,170438
4860.zip,content/4860/00002e0a-beb1-435d-8056-d2f905cdd7a3,US Cases/CA Courts of Appeal Cases from 1905 [PCSI-4860],states,46217,2139604
4861.zip,content/4861/0002f51d-4aad-4d68-89f3-2eb30783b352,US Cases/CA Supreme Court Cases from 1850 [PCSI-4861],states,16421,3206488
4894.zip,content/4894/0003fb88-9648-4dcd-b717-301f0d4dfdc0,US Cases/CO Supreme Court Cases from 1864 [PCSI-4894],states,4960,423486
4895.zip,content/4895/0017ee0b-1ebc-4e4e-8bb8-95bd782afd87,US Cases/CO Court of Appeals Cases from 1891 [PCSI-4895],states,7018,375150
4920.zip,content/4920/0001affa-d72b-4fba-88f6-0a91ce7dbefd,US Cases/CT Supreme Court Cases from 1764 [PCSI-4920],states,5873,390758
4921.zip,content/4921/0000f630-e0b7-4c4f-a335-7821227d40f0,US Cases/CT Superior Court - Common Pleas Cases from 1935 [PCSI-4921],states,13761,929740
4924.zip,content/4924/06923997-e4dd-4f22-b691-fa7ba8ab6eb3,"Cases/CT Circuit Court Cases, 1961-1974 [PCSI-4924]",states,38,6545
4925.zip,content/4925/0008e8fe-4219-4757-ab2f-5dcc0e88495e,US Cases/CT Court of Appeals Cases from 1983 [PCSI-4925],states,7312,147108
5073.zip,content/5073/00085ed8-5975-4953-9613-fc2b4768db4b,US Cases/DC Court of Appeals Cases from 1925 [PCSI-5073],states,5325,196773
5077.zip,content/5077/000511eb-e8e5-4f22-85bd-3c60b8c48969,US Cases/DE Court of Chancery Cases from 1814 [PCSI-5077],states,7021,146797
5078.zip,content/5078/000004b9-b151-429f-bcbc-796c4f0adce1,Cases/DE Supreme Court Cases from 1790 [PCSI-5078],states,10527,307660
5079.zip,content/5079/00006373-6bbf-4f95-b0c5-c530640aaa05,US Cases/DE Superior Court Cases from 1885 [PCSI-5079],states,11244,506858
6253.zip,content/6253/0000738d-31ab-48d2-955f-d648af8c490b,Cases/FL Courts of Appeal Cases from 1957 [PCSI-6253],states,70284,6241528
6255.zip,content/6255/00002b09-5e07-4700-9a83-92b175d16fef,US Cases/FL Supreme Court Cases from 1846 [PCSI-6255],states,17724,1464072
6289.zip,content/6289/0002b346-667e-4f7c-ad68-727c51e581a0,US Cases/GA Court of Appeals Cases from 1907 [PCSI-6289],states,12442,690378
6291.zip,content/6291/00008d07-0766-45ac-85b7-042de949c87a,US Cases/GA Supreme Court Cases from 1846 [PCSI-6291],states,6469,893888
6423.zip,content/6423/002d0be7-a201-4654-922c-a3597a59ab85,Cases/US Court of International Trade Cases [PCSI-6423],states,3665,126098
6427.zip,content/6427/018571b2-9605-4956-943c-3ad048df084f,Cases/US Customs Court Cases [PCSI-6427],states,172,450785
6443.zip,content/6443/0003226f-3f7f-457a-a522-b89dd2f72a90,"Cases/U.S. Supreme Court Cases, Lawyers' Edition [PCSI-6443]",states,18730,4439750
6606.zip,content/6606/0032ffa9-6f3c-4727-9816-1743bc5715d2,US Cases/HI Court of Appeals Cases from 1980 [PCSI-6606],states,7271,146216
6609.zip,content/6609/0012053d-167d-4a0b-a58e-24fe654c8a1f,Cases/HI Supreme Court Cases from 1847 [PCSI-6609],states,4824,217298
6647.zip,content/6647/00062596-1025-4d5b-96ae-9db803c5387b,US Cases/ID Court of Appeals Cases from 1982 [PCSI-6647],states,3170,57784
6649.zip,content/6649/0012e5b7-243b-4780-9e06-3cc218eb4cc8,US Cases/ID Supreme Court Cases from 1866 [PCSI-6649],states,5153,133872
7238.zip,content/7238/00207301-3238-4191-97bc-4488916ed296,US Cases/KY Court of Appeals Cases from 1976 [PCSI-7238],states,4568,164948
7240.zip,content/7240/00067890-3e6d-459a-9215-77716f34c1f9,US Cases/KY Supreme Court Cases from 1785 [PCSI-7240],states,4348,712592
7256.zip,content/7256/0000eda0-9851-44f7-b264-882240fc7738,US Cases/LA Court of Appeals Cases from 1881 [PCSI-7256],states,20615,1388629
7258.zip,content/7258/0007dc1b-77a8-47b7-91e4-3165995f2ba6,US Cases/LA Supreme Court Cases from 1809 [PCSI-7258],states,12186,1744812
7682.zip,content/7682/0001a952-57f7-4ff0-90ae-cc24b648abde,US Cases/MA Court of Appeals Cases from 1972 [PCSI-7682],states,5002,312322
7683.zip,content/7683/0007220d-a42a-4adb-8fa6-01a985cf06fd,Cases/MA Supreme Judicial Court Cases from 1768 [PCSI-7683],states,6529,713996
7704.zip,content/7704/00001d52-be21-4a45-9b0c-a4c904a781d1,US Cases/MD Court of Appeals of Maryland from 1658 [PCSI-7704],states,6421,546921
7707.zip,content/7707/000fbe52-6aa7-4df4-9f36-d8f27291af79,US Cases/MD Court of Special Appeals of Maryland from 1967 [PCSI-7707],states,6809,127242
7710.zip,content/7710/01523df1-d6cf-45c5-b4b8-db06bda5cbe8,US Cases/MD Tax Court Recommendations and Orders [PCSI-7710],states,167,4895
7783.zip,content/7783/0008f13a-006d-478c-a52d-536325ac82da,Cases/MI Court of Appeals Cases from 1965 [PCSI-7783],states,15050,725515
7784.zip,content/7784/0006cba3-a5af-436f-b5af-f7934ebd6f0b,US Cases/MI Supreme Court Cases from 1841 [PCSI-7784],states,15130,1119670
7839.zip,content/7839/0001644a-f61d-4b5e-9878-f359c96a5e98,Cases/MN Appeals Court Cases from 1983 [PCSI-7839],states,13350,481112
7841.zip,content/7841/000488c6-5ad6-44b2-9d20-1b89a5cd8f45,US Cases/MN Supreme Court Cases from 1861 [PCSI-7841],states,5201,608755
7856.zip,content/7856/0016249c-7819-417f-87f7-0e92421fa836,Cases/MO Supreme Court from 1821 [PCSI-7856],states,3518,429209
7857.zip,content/7857/00016f45-eeca-44ad-98f3-2a3ae5c64f64,US Cases/MO Appeals Court Cases from 1876 [PCSI-7857],states,13748,952749
7881.zip,content/7881/00072c82-e001-4eef-90dd-5393fb1035f1,Cases/NE Supreme Court Cases from 1871 [PCSI-7881],states,3672,366553
